Symbol,Company,Sector,Industry,Price,PE,PB,ROE %,Debt/Equity,Profit Margin %,Revenue CAGR %,Net Income CAGR %,Margin Trend,Blended Fair Value,Est. Upside %,Valuation Models Used,Score,Rating,Valuation Pillar,Profitability Pillar,Stability Pillar,Growth Pillar,Upside Pillar,Strengths,PE Percentile (vs Sector),ROE Percentile (vs Sector),Score Rank (vs Sector)
LUPIN,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2388.0,20.704006,4.863375,26.91,29.388,19.07,19.1,131.5,expanding,3047.3,27.6,2,88,🟢 STRONG BUY,5,20,20,25,6,"Excellent ROE (26.9%), High net margin (19.1%), Very low debt, Strong liquidity position",4.3478260869565215,95.65217391304348,1.0
NMDC,NMDC Limited,Basic Materials,Steel,85.8,10.12987,2.2105427,23.36,18.802,23.23,22.0,10.0,contracting,130.67,52.3,2,85,🟢 STRONG BUY,12,20,20,18,0,"Excellent ROE (23.4%), High net margin (23.2%), Very low debt, Strong liquidity position",8.823529411764707,97.14285714285714,1.0
PFC,Power Finance Corporation Limited,Financial Services,Credit Services,418.0,5.3248405,1.0381817,20.47,586.017,54.3,16.3,17.7,unknown,1275.36,205.1,1,80,🟢 STRONG BUY,15,20,10,20,15,"Trading near/below book value, Excellent ROE (20.5%), High net margin (54.3%), Leverage ratio not directly comparable (financial sector)",4.545454545454546,88.63636363636364,1.0
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1613.4,27.166191,2.4730568,9.93,21.31,10.41,10.7,22.1,expanding,2080.66,29.0,2,75,🟢 STRONG BUY,9,6,20,22,0,"Healthy net margin (10.4%), Very low debt, Strong liquidity position, Healthy revenue CAGR (10.7%)",13.043478260869565,60.86956521739131,2.0
MUTHOOTFIN,Muthoot Finance Limited,Financial Services,Credit Services,2892.0,11.824835,2.967149,31.74,393.56,55.5,38.0,43.1,unknown,3610.92,24.9,1,72,🟢 BUY,12,20,10,20,0,"Excellent ROE (31.7%), High net margin (55.5%), Leverage ratio not directly comparable (financial sector), Strong revenue CAGR (38.0%)",27.27272727272727,93.18181818181817,2.0
MRF,MRF Limited,Consumer Cyclical,Auto Parts,134405.0,23.491997,2.7177248,12.26,15.288,7.79,10.6,46.7,expanding,224520.66,67.0,2,72,🟢 BUY,9,6,17,22,0,"Very low debt, Strong liquidity position, Healthy revenue CAGR (10.6%), Strong profit CAGR (46.7%)",18.51851851851852,70.96774193548387,1.0
INFY,Infosys Limited,Technology,Information Technology Services,1174.0,15.189546,5.185373,32.0,9.541,16.37,3.4,3.6,stable,1405.03,19.7,1,70,🟢 BUY,5,20,20,12,0,"Excellent ROE (32.0%), High net margin (16.4%), Very low debt, Strong liquidity position",18.75,87.5,1.0
PNCINFRA,PNC Infratech Limited,Industrials,Engineering & Construction,254.55,7.8540573,0.9593605,12.99,75.883,15.5,-10.2,8.1,expanding,1142.8,348.9,2,69,🟢 BUY,15,13,16,10,15,"Trading near/below book value, High net margin (15.5%), Manageable debt level, Strong liquidity position",2.7777777777777777,72.97297297297297,1.0
INOXWIND,Inox Wind Limited,Industrials,Specialty Industrial Machinery,78.86,29.75849,1.8483968,6.75,20.631,9.21,81.9,,expanding,140.09,77.6,1,68,🟢 BUY,9,6,20,18,0,"Healthy net margin (9.2%), Very low debt, Strong liquidity position, Strong revenue CAGR (81.9%)",30.555555555555557,48.64864864864865,2.0
NATIONALUM,National Aluminium Company Limited,Basic Materials,Aluminum,381.0,11.393541,3.2384465,0.0,0.277,34.91,5.8,21.3,expanding,525.25,37.9,2,68,🟢 BUY,12,11,12,18,6,"High net margin (34.9%), Very low debt, Strong profit CAGR (21.3%), Margins expanding",11.76470588235294,35.714285714285715,2.0
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,5690.0,19.837536,5.2681527,28.03,3.57,12.11,11.7,26.9,expanding,8065.68,41.8,2,68,🟢 BUY,5,15,8,22,6,"Excellent ROE (28.0%), Healthy net margin (12.1%), High leverage, Strong liquidity position",3.7037037037037033,90.32258064516128,2.0
WIPRO,Wipro Limited,Technology,Information Technology Services,186.99,14.852264,2.387513,16.13,27.398,13.92,0.8,5.2,stable,291.62,56.0,2,68,🟢 BUY,12,13,20,8,6,"Strong ROE (16.1%), Healthy net margin (13.9%), Very low debt, Strong liquidity position",12.5,68.75,2.0
FINPIPE,Finolex Industries Limited,Industrials,Building Products & Equipment,167.15,17.249743,1.6611179,9.73,7.171,14.56,-1.9,33.7,expanding,300.9,80.0,2,67,🟢 BUY,9,8,20,12,0,"Healthy net margin (14.6%), Very low debt, Strong liquidity position, Declining revenue trend (-1.9%)",13.88888888888889,62.16216216216216,3.0
LICHSGFIN,LIC Housing Finance Limited,Financial Services,Mortgage Finance,512.05,4.9070435,0.67995906,0.0,642.522,65.18,11.8,24.7,unknown,1966.38,284.0,1,66,🟢 BUY,15,11,10,15,15,"Trading near/below book value, High net margin (65.2%), Leverage ratio not directly comparable (financial sector), Healthy revenue CAGR (11.8%)",2.272727272727273,26.136363636363637,3.0
TCS,TCS,Technology,Information Technology Services,2413.0,17.51597,7.9633284,47.74,10.211,18.05,5.8,5.3,stable,2260.66,-6.3,1,66,🟢 BUY,5,20,20,12,0,"Excellent ROE (47.7%), High net margin (18.1%), Very low debt, Strong liquidity position",25.0,93.75,3.0
ALKEM,Alkem Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,5696.5,29.615284,4.928344,17.56,14.267,15.65,8.3,32.7,expanding,4904.94,-13.9,2,66,🟢 BUY,5,16,20,22,0,"Strong ROE (17.6%), High net margin (15.6%), Very low debt, Strong liquidity position",21.73913043478261,86.95652173913044,3.0
AXISBANK,AXISBANK,Financial Services,Banks - Regional,1253.9,13.633794,1.7474813,13.35,,36.03,12.2,34.6,unknown,1798.4,43.4,1,65,🟢 BUY,17,15,0,18,6,"Attractive PEG ratio, High net margin (36.0%), Healthy revenue CAGR (12.2%), Strong profit CAGR (34.6%)",31.818181818181817,68.18181818181817,4.0
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1450.1,18.428007,2.7340927,16.07,,27.53,18.1,16.8,unknown,1607.88,10.9,2,65,🟢 BUY,14,18,0,20,6,"Attractive PEG ratio, Strong ROE (16.1%), High net margin (27.5%), Strong revenue CAGR (18.1%)",38.63636363636363,84.0909090909091,4.0
