Symbol,Company Name,Industry
UTKAL,Utkal Speciality Industries India Limited,Unknown
GENXAI,GenXAI Analytics Limited,Unknown
QLINE,Q-Line Biotech Limited,Unknown
BMLL,Bio Medica Laboratories Limited,Unknown
TEAMTECH,Teamtech Formwork Solutions Limited,Unknown
NFPSAMPOOR,NFP Sampoorna Foods Limited,Unknown
RFBL,RFBL Flexi Pack Limited,Unknown
SIMCA,Simca Advertising Limited,Unknown
VALUE360,Value 360 Communications Limited,Unknown
AMBAAUTO,Amba Auto Sales and Services Limited,Unknown
ADISOFT,Adisoft Technologies Limited,Unknown
VIVIDEL,Vivid Electromech Limited,Unknown
APSISAERO,Apsis Aerocom Limited,Unknown
SPCON,Srinibas Pradhan Constructions Limited,Unknown
ACETEC,Acetech E-Commerce Limited,Unknown
STRIDERS,Striders Impex Limited,Unknown
YAAP,Yaap Digital Limited,Unknown
MOBILISE,Mobilise App Lab Limited,Unknown
MANILAM,Manilam Industries India Limited,Unknown
MARUSHIKA,Marushika Technology Limited,Unknown
BIOPOL,Biopol Chemicals Limited,Unknown
GJL,Grover Jewells Limited,Unknown
BRANDMAN,Brandman Retail Limited,Unknown
CKKRETAIL,C K K Retail Mart Limited,Unknown
KRMAYURVED,KRM Ayurveda Limited,Unknown
ARMOUR,Armour Security (India) Limited,Unknown
AVANA,Avana Electrosystems Limited,Unknown
VICTORYEV,Victory Electric Vehicles International Limited,Unknown
E2ERAIL,E To E Transportation Infrastructure Limited,Unknown
DHARARAIL,Dhara Rail Projects Limited,Unknown
SHYAMDHANI,Shyam Dhani Industries Limited,Unknown
SOCL,Sundrex Oil Company Limited,Unknown
EPWINDIA,EPW India Limited,Unknown
MARC,Marc Technocrats Limited,Unknown
ASHWINI,Ashwini Container Movers Limited,Unknown
EXIMROUTES,Exim Routes Limited,Unknown
ENCOMPAS,Encompass Design India Limited,Unknown
FWSTC,Flywings Simulator Training Centre Limited,Unknown
SHRIKANHA,Shri Kanha Stainless Limited,Unknown
NEOCHEM,Neochem Bio Solutions Limited,Unknown
CSSL,Clear Secured Services Limited,Unknown
SPEB,Speb Adhesives Limited,Unknown
INVICTA,Invicta Diagnostic Limited,Unknown
CURIS,Curis Lifesciences Limited,Unknown
FINBUD,Finbud Financial Services Limited,Unknown
SHETHJI,Shreeji Global FMCG Limited,Unknown
JAYESH,Jayesh Logistics Limited,Unknown
GREENLEAF,Greenleaf Envirotech Limited,Unknown
BAGDIGITAL,B.A.G. Convergence Limited,Unknown
MUNISH,Munish Forge Limited,Unknown
SHEEL,Sheel Biotech Limited,Unknown
VIJAYPD,Vijaypd Ceutical Limited,Unknown
SUBAHOTELS,Suba Hotels Limited,Unknown
MPEL,Manas Polymers and Energies Limited,Unknown
GURUNANAK,Gurunanak Agriculture India Limited,Unknown
MGSL,Matrix Geo Solutions Limited,Unknown
ECOLINE,Ecoline Exim Limited,Unknown
PRIMECAB,Prime Cable Industries Limited,Unknown
SIDDHICOTS,Siddhi Cotspin Limited,Unknown
TECHD,TechD Cybersecurity Limited,Unknown
GML,Galaxy Medicare Limited,Unknown
TAURIAN,Taurian MPS Limited,Unknown
VIGOR,Vigor Plast India Limited,Unknown
OPTIVALUE,Optivalue Tek Consulting Limited,Unknown
SNEHAA,Snehaa Organics Limited,Unknown
SATTVAENGG,Sattva Engineering Construction Limited,Unknown
CURRENT,Current Infraprojects Limited,Unknown
CLASSICEIL,Classic Electrodes (India) Limited,Unknown
ANONDITA,Anondita Medicare Limited,Unknown
SHIVASHRIT,Shivashrit Foods Limited,Unknown
ARCIIL,ARC Insulation & Insulators Limited,Unknown
STUDIOLSD,Studio LSD Limited,Unknown
MRIL,Mahendra Realtors & Infrastructure Limited,Unknown
MEDISTEP,Medistep Healthcare Limited,Unknown
AMCL,ANB Metal Cast Limited,Unknown
SAWALIYA,Sawaliya Food Products Limited,Unknown
CONNPLEX,Connplex Cinemas Limited,Unknown
AARADHYA,Aaradhya Disposal Industries Limited,Unknown
PARTH,Parth Electricals & Engineering Limited,Unknown
BHADORA,Bhadora Industries Limited,Unknown
JYOTIGLOBL,Jyoti Global Plast Limited,Unknown
FLYSBS,FlySBS Aviation Limited,Unknown
RNPL,Renol Polychem Limited,Unknown
CUDML,Cash Ur Drive Marketing Limited,Unknown
KAYTEX,Kaytex Fabrics Limited,Unknown
SELLOWRAP,Sellowrap Industries Limited,Unknown
TSC,TSC India Limited,Unknown
SAVY,Savy Infra and Logistics Limited,Unknown
SPUNWEB,Spunweb Nonwoven Limited,Unknown
SMARTEN,Smarten Power Systems Limited,Unknown
WHITEFORCE,Happy Square Outsourcing Services Limited,Unknown
ETL,Emkay Tools Limited,Unknown
PUSHPA,Pushpa Jewellers Limited,Unknown
CEDAAR,Cedaar Textile Limited,Unknown
SILKY,Silky Overseas Limited,Unknown
PROFX,Pro FX Tech Limited,Unknown
MMEL,Moving Media Entertainment Limited,Unknown
SUNTECH,Suntech Infra Solutions Limited,Unknown
RTL,Rama Telecom Limited,Unknown
SHKSIL,Shri Hare-Krishna Sponge Iron Limited,Unknown
AAKAAR,Aakaar Medical Technologies Limited,Unknown
MAYASHEEL,Mayasheel Ventures Limited,Unknown
SAFEENTP,Safe Enterprises Retail Fixtures Limited,Unknown
INFLUX,Influx Healthtech Limited,Unknown
EEPL,Eppeltone Engineers Limited,Unknown
PATILAUTOM,Patil Automation Limited,Unknown
SAMAY,Samay Project Services Limited,Unknown
MONOLITH,Monolithisch India Limited,Unknown
JAINIK,Jainik Power Cables Limited,Unknown
SACHEEROME,Sacheerome Limited,Unknown
GANGABATH,Ganga Bath Fittings Limited,Unknown
NRVANDANA,N R Vandana Tex Industries Limited,Unknown
NEPTUNE,Neptune Petrochemicals Limited,Unknown
NIKITA,NIKITA GREENTECH RECYCLING LIMITED,Unknown
BLUEWATER,Blue Water Logistics Limited,Unknown
DCCL,Dar Credit & Capital Limited,Unknown
ACCPL,Accretion Pharmaceuticals Limited,Unknown
INTEGRITY,Integrity Infrabuild Developers Limited,Unknown
VGINFOTECH,Virtual Galaxy Infotech Limited,Unknown
ARUNAYA,Arunaya Organics Limited,Unknown
IWARE,Iware Supplychain Services Limited,Unknown
TANKUP,Tankup Engineers Limited,Unknown
ATCENERGY,ATC Energies System Limited,Unknown
SHRIAHIMSA,Shri Ahimsa Naturals Limited,Unknown
RAPIDFLEET,Rapid Fleet Management Services Limited,Unknown
ACTIVEINFR,Active Infrastructures Limited,Unknown
GCHOTELS,Grand Continent Hotels Limited,Unknown
DIVINEHIRA,Divine Hira Jewellers Limited,Unknown
BALAJIPHOS,Balaji Phosphates Limited,Unknown
HPTL,HP Telecom India Limited,Unknown
TEJASCARGO,Tejas Cargo India Limited,Unknown
ROYALARC,Royal Arc Electrodes Limited,Unknown
PSRAJ,P S Raj Steels Limited,Unknown
VOLERCAR,Voler Car Limited,Unknown
